"","LINEUP_SORTED","NUMBER OF GUARDS","OPPONENT POSSESSIONS","CMU POSSESSIONS","LINEUP SECONDS","OPPONENT PTS","CMU PTS","CMU 3PA","CMU FGA","CMU FTA","CMU REBOUNDS","TOTAL REBOUNDS","OPPONENTS","SCORE DIFFERENTIAL WHEN ENTER","QUARTER","NUMBERS","SCORE","LOCATION","PACE","OFFENSIVE RATING","DEFENSIVE RATING","NET RATING","3PA/FGA","TRUE SHOOTING %","TRB%"
"25","ARIAS,AVA CHINTALA,ANISHA DELMORE,KAYLA HEYER,ALLIE OR,CATHERINE",5,1,1,49,0,0,1,2,0,1,2,"washington & jefferson","8","4","21 10 5 22 23","80-77","HOME",48.9795918367347,0,0,0,0.5,0,50
"26","ARIAS,AVA CHINTALA,ANISHA DELMORE,KAYLA NAMBISAN,ISHA PROUTY,ANNA",4,2,3,91,2,2,0,2,0,1,2,"nyu","-33","3","10 11 23 33 21","62-91","HOME",65.9340659340659,66.6666666666667,100,-33.3333333333333,0,50,50
"27","ARIAS,AVA CHINTALA,ANISHA DELMORE,KAYLA PROUTY,ANNA TIMKO,NICOLE",4,4,4,121,2,2,0,3,0,0,2,"nyu","-33","3","10 11 23 24 21","62-91","HOME",79.3388429752066,50,50,0,0,33.3333333333333,0
"28","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE NAMBISAN,ISHA",4,5,4,165,0,2,2,4,0,4,7,"chicago, rochester2","2, 11","1, 2","23 5 4 10 33","54-62, 59-46","AWAY, HOME",65.4545454545455,50,0,50,0.5,25,57.1428571428571
"29","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE OR,CATHERINE",4,6,7,247,4,1,2,4,2,2,9,"allegheny, baldwin wallace, wis.-eau claire","1, 5, 15","2, 2, 2","5 4 10 23 22","73-47, 51-70, 71-48","AWAY, AWAY, HOME",63.1578947368421,14.2857142857143,66.6666666666667,-52.3809523809524,0.5,10.2459016393443,22.2222222222222
"30","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE TIMKO,NICOLE",4,4,4,123,1,4,0,1,2,2,3,"rochester2, rochester2","-4, 15","1, 3","5 4 23 24 10","59-46, 59-46","HOME, HOME",78.0487804878049,100,25,75,0,106.382978723404,66.6666666666667
"31","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH LAFOND,LIV NAMBISAN,ISHA",3,1,1,35,0,0,0,1,0,1,1,"nyu2","-23","2","23 33 43 4 10","52-83","AWAY",68.5714285714286,0,0,0,0,0,100
"32","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH LIGOTTI,PIPER OR,CATHERINE",4,5,4,146,0,4,1,5,0,4,6,"la roche","7","2","4 23 22 10 3","72-47","HOME",73.972602739726,100,0,100,0.2,40,66.6666666666667
"33","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE",4,169,172,5642,145,146,37,138,26,87,167,"allegheny, baldwin wallace, baldwin wallace, baldwin wallace, baldwin wallace, brandeis, bridgewater st., bridgewater st., carlow, case western reserve, case western reserve, case western reserve, chicago, chicago, chicago, denison, denison, denison, johns hopkins, johns hopkins, la roche, la roche, la roche, nyu, nyu2, oberlin, penn state-behrend, penn state-behrend, penn state-behrend, rochester, washu, washu2, wis.-eau claire, wis.-eau claire, wis.-eau claire, wis.-eau claire, wooster, wooster","-2, 0, -2, 9, -9, 7, -2, 7, 0, 0, -9, 0, 4, 0, -3, 0, -5, -5, -6, 2, 0, 9, 17, -19, -19, 19, 0, 7, 3, 17, -2, -1, 0, 3, 13, 9, 0, 12","3, 1, 2, 2, 3, 1, 1, 2, 1, 1, 3, 4, 2, 2, 4, 1, 2, 3, 1, 2, 1, 3, 3, 2, 3, 2, 1, 2, 3, 4, 1, 2, 1, 2, 3, 3, 1, 3","23 4 33 10 22","73-47, 51-70, 51-70, 51-70, 51-70, 74-67, 69-58, 69-58, 92-45, 69-63, 69-63, 69-63, 54-62, 54-62, 54-62, 75-58, 75-58, 75-58, 58-68, 58-68, 72-47, 72-47, 72-47, 62-91, 52-83, 81-43, 78-74, 78-74, 78-74, 72-55, 86-67, 76-70, 71-48, 71-48, 71-48, 71-48, 69-43, 69-43","AWAY, AWAY, AWAY, AWAY, AWAY, HOME, HOME, HOME, HOME, AWAY, AWAY, AWAY, AWAY, AWAY, AWAY, AWAY, AWAY, AWAY, AWAY, AWAY, HOME, HOME, HOME, HOME, AWAY, HOME, HOME, HOME, HOME, AWAY, AWAY, HOME, HOME, HOME, HOME, HOME, AWAY, AWAY",72.5274725274725,84.8837209302326,85.7988165680473,-0.915095637814787,0.268115942028986,48.8490364025696,52.0958083832335
"34","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA TIMKO,NICOLE",4,17,17,620,20,17,3,14,1,7,18,"baldwin wallace, brandeis2, la roche, nyu2, rochester, rochester2, rochester2, rochester2","0, 6, 11, -13, 19, 7, 14, 9","1, 3, 2, 1, 3, 2, 3, 4","23 10 33 4 24","51-70, 62-51, 72-47, 52-83, 72-55, 59-46, 59-46, 59-46","AWAY, AWAY, HOME, AWAY, AWAY, HOME, HOME, HOME",65.8064516129032,100,117.647058823529,-17.6470588235294,0.214285714285714,58.8642659279778,38.8888888888889
